counted_percentage,lower_quantile,upper_quantile,mu,sigma_squared
0.01,-0.7794433224,0.8395460536,-0.1419990371,0.2300730051
0.02,-0.6873191351,0.7374934416,-0.1124812978,0.1899826245
0.03,-0.5885449918,0.6335425203,-0.1096007957,0.1354220678
0.04,-0.5441083767,0.4329937341,-0.09268268406,0.1018103179
0.05,-0.5100345656,0.3594030394,-0.09940442704,0.07227984399
0.06,-0.4814923596,0.3472911641,-0.1068298142,0.05892179202
0.07,-0.4441736739,0.3320801107,-0.09844607571,0.05365259159
0.08,-0.4037107648,0.306506413,-0.08387817033,0.04910344942
0.09,-0.3772995295,0.2843948175,-0.07567501023,0.04409828155
0.1,-0.3588637339,0.276416464,-0.06805590069,0.04448988222
0.11,-0.3477858968,0.2894618739,-0.06155452483,0.04429256525
0.12,-0.3403189041,0.2834111311,-0.05490217086,0.04386891708
0.13,-0.3359217397,0.2794139317,-0.05223687427,0.0403592238
0.14,-0.331055676,0.2674458156,-0.05056091224,0.03570999051
0.15,-0.3240761797,0.2641045051,-0.04640862131,0.03339907785
0.16,-0.3201969921,0.2601573321,-0.04326188106,0.03225160621
0.17,-0.319609233,0.2578144978,-0.04090714772,0.03169534532
0.18,-0.3149281939,0.2532887235,-0.0386476765,0.03095783466
0.19,-0.3087598268,0.2400946056,-0.03542993973,0.02987673512
0.2,-0.3027654826,0.2275328822,-0.03199645558,0.02843087835
0.21,-0.2969308674,0.2139314473,-0.03025145509,0.02628954936
0.22,-0.2908168729,0.197128149,-0.03047076968,0.02359721437
0.23,-0.2827392157,0.1827507079,-0.03054934683,0.02127916329
0.24,-0.2712210614,0.173737191,-0.03193081828,0.01917724472
0.25,-0.2632142801,0.1581596279,-0.03358326706,0.01767019537
0.26,-0.254104191,0.1426668719,-0.03498400849,0.01654456478
0.27,-0.2369767487,0.1223161814,-0.03638443838,0.01513966662
0.28,-0.223168428,0.1100665379,-0.03690839882,0.0139442105
0.29,-0.2126006234,0.1070826688,-0.03725102888,0.01316011532
0.3,-0.2005162076,0.1011369716,-0.03736357532,0.01195889592
0.31,-0.1946649235,0.09484367652,-0.03739901105,0.010581066
0.32,-0.1848366684,0.08713662464,-0.03491180408,0.009257194807
0.33,-0.1687646138,0.07976347685,-0.03219405611,0.007572405871
0.34,-0.1580530732,0.07479853921,-0.02938590712,0.006407525123
0.35,-0.1452941314,0.0653435719,-0.02635905297,0.005168816523
0.36,-0.1366621404,0.06289672537,-0.02421098174,0.004237781612
0.37,-0.1291453061,0.05962666783,-0.02223155048,0.003626153963
0.38,-0.1217227797,0.05786275435,-0.02017319487,0.003087552464
0.39,-0.1145229159,0.05448858998,-0.01873930669,0.002646677536
0.4,-0.1098872249,0.05368277141,-0.01791053784,0.002455346983
0.41,-0.1082479,0.05248885892,-0.01721892165,0.00218142311
0.42,-0.1039442502,0.04932534221,-0.01679725799,0.001995292484
0.43,-0.09996631325,0.04783069043,-0.0165367642,0.001850683676
0.44,-0.0926605952,0.04657931107,-0.01617851056,0.001732462914
0.45,-0.089136166,0.04488124054,-0.01550606836,0.001566872458
0.46,-0.08036210294,0.04297855281,-0.01494953502,0.001430192135
0.47,-0.0764465468,0.04289433077,-0.0143480565,0.001333976826
0.48,-0.07159856463,0.04238810703,-0.01380088162,0.001233735112
0.49,-0.06707702476,0.04071309881,-0.01301524366,0.001144435113
0.5,-0.06307613853,0.04106403404,-0.01248247982,0.001080284443
0.51,-0.06114900473,0.04003632501,-0.01188647135,0.001006452657
0.52,-0.05821323543,0.03960670013,-0.01141152644,0.0009470188568
0.53,-0.05612595698,0.03879895134,-0.01103123994,0.000900167741
0.54,-0.05458629533,0.03824464661,-0.01058217233,0.0008521329896
0.55,-0.05223084684,0.03702201459,-0.009987569038,0.0007940447696
0.56,-0.04984348606,0.03649700135,-0.009524141421,0.0007480533113
0.57,-0.04821430257,0.03542582845,-0.009123641495,0.0007060001803
0.58,-0.04723016431,0.03530342032,-0.008690601942,0.0006710594762
0.59,-0.04603698027,0.03426176868,-0.008113865201,0.0006317596345
0.6,-0.04543758033,0.03340832193,-0.007641077293,0.0006004170087
0.61,-0.04444734625,0.03247735928,-0.00723517172,0.0005761948454
0.62,-0.04375440326,0.03202245493,-0.006916340112,0.000554618209
0.63,-0.04254812715,0.03148079049,-0.006443843711,0.0005267787342
0.64,-0.04194490729,0.03088624326,-0.005985806404,0.0005053349262
0.65,-0.04071986508,0.03042115336,-0.005612836343,0.00048776364
0.66,-0.04017653987,0.02983593073,-0.00529430214,0.0004784586712
0.67,-0.03924423234,0.02929215367,-0.004946925833,0.0004658071859
0.68,-0.03892470777,0.02882135299,-0.004617435526,0.0004509521713
0.69,-0.03820679229,0.02859553867,-0.004378160947,0.0004363118513
0.7,-0.03789807251,0.02773894592,-0.004126228896,0.0004309492158
0.71,-0.03742688935,0.02739924473,-0.003912632884,0.0004187636367
0.72,-0.03706978748,0.02702409299,-0.003727393545,0.0004139016824
0.73,-0.03620921059,0.02633594868,-0.003565517214,0.0004027553427
0.74,-0.03605312237,0.02566734911,-0.003461286124,0.0003909610146
0.75,-0.03526969593,0.02504783557,-0.003291221366,0.0003790742443
0.76,-0.03428985894,0.02447609492,-0.003179948338,0.0003665125605
0.77,-0.03410599718,0.023950345,-0.003044729352,0.000355682093
0.78,-0.03326919765,0.02350300876,-0.002896154741,0.0003447182731
0.79,-0.03227326018,0.02326155813,-0.002746732159,0.0003339062632
0.8,-0.03172167393,0.02246106367,-0.0026681532,0.0003220373982
0.81,-0.03123680555,0.02204837387,-0.002556734323,0.0003075076188
0.82,-0.03046496645,0.02145168643,-0.002465390888,0.0002948525074
0.83,-0.02982714361,0.02120815677,-0.002378029937,0.0002833880633
0.84,-0.0289914577,0.02086504237,-0.002348242112,0.0002691790338
0.85,-0.02806505161,0.02045650195,-0.002235331539,0.0002575660634
0.86,-0.02712816738,0.02009390508,-0.002133346376,0.0002413786016
0.87,-0.02612048468,0.01947245244,-0.001997442829,0.0002265067507
0.88,-0.02491869076,0.0188247884,-0.001877819562,0.0002113544925
0.89,-0.02411373653,0.01799050708,-0.00179256243,0.0001966059861
0.9,-0.02279849764,0.01726598261,-0.001723826904,0.0001761727599
0.91,-0.02174457115,0.0166474387,-0.00167989982,0.0001582899527
0.92,-0.0204012932,0.01571807642,-0.001588348224,0.0001405507176
0.93,-0.019211613,0.01462281252,-0.001484620176,0.0001238110858
0.94,-0.01774775074,0.01333553605,-0.001365621057,0.0001043598441
0.95,-0.0158962785,0.01252133693,-0.001255905845,8.43E-05
0.96,-0.01404115969,0.01049914893,-0.001151230574,6.43E-05
0.97,-0.01254070933,0.009326736121,-0.000964014804,4.88E-05
0.98,-0.01058659992,0.007852703715,-0.0007492418544,3.29E-05
0.99,-0.008626132389,0.00596301693,-0.0004445824976,1.9E-05
1,0,0,0,0
